[0x000018a8] | BtCommon             | INFO  | 2017-09-28 01:35:16,714 | Starting Daemon: C:/Program Files/Blackmagic Design/DaVinci Resolve/DPDecoder.exe
[0x000018a8] | BtCommon             | INFO  | 2017-09-28 01:35:16,797 | Starting Daemon: C:/Program Files/Blackmagic Design/DaVinci Resolve/DPDecoder.exe
[0x000018a8] | BtCommon             | INFO  | 2017-09-28 01:35:16,873 | Starting Daemon: C:/Program Files/Blackmagic Design/DaVinci Resolve/DPDecoder.exe
[0x000018a8] | BtCommon             | INFO  | 2017-09-28 01:35:16,958 | Starting Daemon: C:/Program Files/Blackmagic Design/DaVinci Resolve/DPDecoder.exe
[0x000018a8] | BtCommon             | INFO  | 2017-09-28 01:35:17,047 | Starting Daemon: C:/Program Files/Blackmagic Design/DaVinci Resolve/DPDecoder.exe
[0x000018a8] | SyManager            | INFO  | 2017-09-28 01:35:17,156 | Total: 20, NumDtThreads: 8, NumComms: 0, NumSites: 1

[0x000018a8] | SyManager            | INFO  | 2017-09-28 01:35:17,156 | Lookaheads -> playback = 20, record = 20, stop = 2

[0x000018a8] | DtManager            | INFO  | 2017-09-28 01:35:17,157 | Using 8 generic IO threads
[0x000018a8] | DtManager            | INFO  | 2017-09-28 01:35:17,157 | Total of 16 IO threads (including 8 generic and 8 Red decode threads)
[0x00002c7c] | GsManager            | INFO  | 2017-09-28 01:35:17,160 | Gs Processor Thread ----- (686552464)

[0x00003100] | DtManager            | INFO  | 2017-09-28 01:35:17,161 | Dt Data Handler Thread Started
[0x000032b0] | DtManager            | INFO  | 2017-09-28 01:35:17,162 | Dt Worker Thread Started
[0x0000273c] | DtManager            | INFO  | 2017-09-28 01:35:17,162 | Dt Worker Thread Started
[0x00000074] | DtManager            | INFO  | 2017-09-28 01:35:17,162 | Dt Worker Thread Started
[0x000031d0] | DtManager            | INFO  | 2017-09-28 01:35:17,162 | Dt Worker Thread Started
[0x0000203c] | DtManager            | INFO  | 2017-09-28 01:35:17,163 | Dt Worker Thread Started
[0x000017f8] | DtManager            | INFO  | 2017-09-28 01:35:17,163 | Dt Worker Thread Started
[0x000030f0] | DtManager            | INFO  | 2017-09-28 01:35:17,163 | Dt Worker Thread Started
[0x00001f90] | DtManager            | INFO  | 2017-09-28 01:35:17,163 | Dt Worker Thread Started
[0x00000b34] | DtManager            | INFO  | 2017-09-28 01:35:17,163 | Dt Worker Thread Started
[0x00002270] | DtManager            | INFO  | 2017-09-28 01:35:17,163 | Dt Worker Thread Started
[0x0000310c] | DtManager            | INFO  | 2017-09-28 01:35:17,166 | Dt Worker Thread Started
[0x00003114] | DtManager            | INFO  | 2017-09-28 01:35:17,169 | Dt Worker Thread Started
[0x00003150] | DtManager            | INFO  | 2017-09-28 01:35:17,171 | Dt Worker Thread Started
[0x000031e0] | DtManager            | INFO  | 2017-09-28 01:35:17,173 | Dt Worker Thread Started
